time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
100  0.000731  1.005490   0.000734  1.008761   0.000734  1.009640   
200  0.000731  1.005491   0.000734  1.008763   0.000734  1.009652   
300  0.000731  1.005492   0.000734  1.008766   0.000734  1.009663   
400  0.000731  1.005494   0.000734  1.008769   0.000734  1.009673   
500  0.000731  1.005496   0.000734  1.008773   0.000734  1.009683   
600  0.000731  1.005498   0.000734  1.008776   0.000734  1.009693   
700  0.000731  1.005501   0.000734  1.008780   0.000734  1.009701   
800  0.000731  1.005505   0.000734  1.008784   0.000734  1.009709   
900  0.000731  1.005509   0.000734  1.008789   0.000734  1.009716   
1000  0.000731  1.005513   0.000734  1.008794   0.000734  1.009722   
1100  0.000731  1.005518   0.000734  1.008799   0.000734  1.009727   
1200  0.000731  1.005523   0.000734  1.008805   0.000734  1.009731   
1300  0.000731  1.005529   0.000734  1.008811   0.000734  1.009734   
1400  0.000731  1.005535   0.000734  1.008817   0.000734  1.009736   
1500  0.000731  1.005542   0.000734  1.008824   0.000734  1.009736   
1600  0.000731  1.005549   0.000734  1.008831   0.000734  1.009736   
1700  0.000731  1.005556   0.000734  1.008838   0.000734  1.009734   
1800  0.000731  1.005564   0.000734  1.008846   0.000734  1.009731   
1900  0.000731  1.005573   0.000734  1.008854   0.000734  1.009728   
2000  0.000731  1.005581   0.000734  1.008862   0.000734  1.009723   
2100  0.000731  1.005591   0.000734  1.008870   0.000734  1.009718   
2200  0.000731  1.005600   0.000734  1.008879   0.000734  1.009711   
2300  0.000731  1.005610   0.000734  1.008888   0.000734  1.009704   
2400  0.000731  1.005621   0.000734  1.008897   0.000734  1.009696   
2500  0.000731  1.005632   0.000734  1.008907   0.000734  1.009688   
2600  0.000731  1.005643   0.000734  1.008916   0.000734  1.009679   
2700  0.000731  1.005655   0.000734  1.008926   0.000734  1.009670   
2800  0.000731  1.005667   0.000734  1.008935   0.000734  1.009660   
2900  0.000732  1.005679   0.000734  1.008944   0.000734  1.009651   
3000  0.000732  1.005692   0.000734  1.008954   0.000734  1.009641   
3100  0.000732  1.005705   0.000734  1.008963   0.000734  1.009632   
3200  0.000732  1.005718   0.000734  1.008972   0.000734  1.009623   
3300  0.000732  1.005731   0.000734  1.008981   0.000734  1.009614   
3400  0.000732  1.005745   0.000734  1.008989   0.000734  1.009606   
3500  0.000732  1.005759   0.000734  1.008997   0.000734  1.009598   
3600  0.000732  1.005773   0.000734  1.009005   0.000734  1.009591   
3700  0.000732  1.005788   0.000734  1.009012   0.000734  1.009584   
3800  0.000732  1.005802   0.000734  1.009019   0.000734  1.009579   
3900  0.000732  1.005816   0.000734  1.009026   0.000734  1.009574   
4000  0.000732  1.005831   0.000734  1.009031   0.000734  1.009571   
4100  0.000732  1.005845   0.000734  1.009037   0.000734  1.009568   
4200  0.000732  1.005859   0.000734  1.009041   0.000734  1.009566   
4300  0.000732  1.005873   0.000734  1.009045   0.000734  1.009566   
4400  0.000732  1.005887   0.000734  1.009049   0.000734  1.009566   
4500  0.000732  1.005900   0.000734  1.009052   0.000734  1.009568   
4600  0.000732  1.005914   0.000734  1.009054   0.000734  1.009570   
4700  0.000732  1.005926   0.000734  1.009056   0.000734  1.009574   
4800  0.000732  1.005938   0.000734  1.009058   0.000734  1.009578   
4900  0.000732  1.005950   0.000734  1.009058   0.000734  1.009584   
5000  0.000732  1.005961   0.000734  1.009059   0.000734  1.009590   
5100  0.000732  1.005971   0.000734  1.009059   0.000734  1.009597   
5200  0.000732  1.005980   0.000734  1.009059   0.000734  1.009605   
5300  0.000732  1.005989   0.000734  1.009058   0.000734  1.009613   
5400  0.000732  1.005996   0.000734  1.009058   0.000734  1.009622   
5500  0.000732  1.006003   0.000734  1.009057   0.000734  1.009631   
5600  0.000732  1.006008   0.000734  1.009057   0.000734  1.009641   
5700  0.000732  1.006012   0.000734  1.009056   0.000734  1.009651   
5800  0.000732  1.006015   0.000734  1.009056   0.000734  1.009661   
5900  0.000732  1.006017   0.000734  1.009056   0.000734  1.009672   
6000  0.000732  1.006017   0.000734  1.009057   0.000734  1.009682   
6100  0.000732  1.006016   0.000734  1.009058   0.000734  1.009693   
6200  0.000732  1.006014   0.000734  1.009059   0.000734  1.009703   
6300  0.000732  1.006010   0.000734  1.009061   0.000734  1.009713   
6400  0.000732  1.006004   0.000734  1.009064   0.000734  1.009723   
6500  0.000732  1.005997   0.000734  1.009068   0.000734  1.009733   
6600  0.000732  1.005988   0.000734  1.009072   0.000734  1.009742   
6700  0.000732  1.005978   0.000734  1.009077   0.000734  1.009751   
6800  0.000732  1.005966   0.000734  1.009084   0.000734  1.009759   
6900  0.000732  1.005953   0.000734  1.009091   0.000734  1.009768   
7000  0.000732  1.005938   0.000734  1.009099   0.000734  1.009775   
7100  0.000732  1.005922   0.000734  1.009108   0.000734  1.009782   
7200  0.000732  1.005904   0.000734  1.009119   0.000734  1.009789   
7300  0.000732  1.005885   0.000734  1.009130   0.000734  1.009796   
7400  0.000732  1.005865   0.000734  1.009142   0.000735  1.009802   
7500  0.000732  1.005843   0.000734  1.009155   0.000735  1.009808   
7600  0.000732  1.005821   0.000734  1.009169   0.000735  1.009813   
7700  0.000732  1.005797   0.000734  1.009183   0.000735  1.009818   
7800  0.000732  1.005772   0.000734  1.009199   0.000735  1.009823   
7900  0.000732  1.005746   0.000734  1.009214   0.000735  1.009827   
8000  0.000732  1.005719   0.000734  1.009231   0.000735  1.009832   
8100  0.000732  1.005692   0.000734  1.009247   0.000735  1.009836   
8200  0.000731  1.005664   0.000734  1.009264   0.000735  1.009841   
8300  0.000731  1.005636   0.000734  1.009282   0.000735  1.009845   
8400  0.000731  1.005607   0.000734  1.009299   0.000735  1.009850   
8500  0.000731  1.005578   0.000734  1.009316   0.000735  1.009854   
8600  0.000731  1.005548   0.000734  1.009333   0.000735  1.009859   
8700  0.000731  1.005519   0.000734  1.009349   0.000735  1.009864   
8800  0.000731  1.005490   0.000734  1.009365   0.000735  1.009870   
8900  0.000731  1.005460   0.000734  1.009380   0.000735  1.009875   
9000  0.000731  1.005431   0.000734  1.009395   0.000735  1.009882   
9100  0.000731  1.005402   0.000734  1.009409   0.000735  1.009889   
9200  0.000731  1.005374   0.000734  1.009421   0.000735  1.009896   
9300  0.000731  1.005346   0.000734  1.009433   0.000735  1.009904   
9400  0.000731  1.005319   0.000734  1.009443   0.000735  1.009912   
9500  0.000731  1.005292   0.000734  1.009453   0.000735  1.009922   
9600  0.000731  1.005265   0.000734  1.009460   0.000735  1.009931   
9700  0.000731  1.005240   0.000734  1.009467   0.000735  1.009942   
9800  0.000731  1.005215   0.000734  1.009472   0.000735  1.009953   
9900  0.000731  1.005190   0.000734  1.009475   0.000735  1.009965   
10000  0.000731  1.005167   0.000734  1.009477   0.000735  1.009978   
10100  0.000731  1.005144   0.000734  1.009478   0.000735  1.009992   
10200  0.000731  1.005121   0.000734  1.009477   0.000735  1.010006   
10300  0.000731  1.005100   0.000734  1.009475   0.000735  1.010021   
10400  0.000731  1.005079   0.000734  1.009471   0.000735  1.010037   
10500  0.000731  1.005058   0.000734  1.009465   0.000735  1.010054   
10600  0.000731  1.005038   0.000734  1.009459   0.000735  1.010071   
10700  0.000731  1.005018   0.000734  1.009451   0.000735  1.010088   
10800  0.000731  1.004999   0.000734  1.009442   0.000735  1.010107   
10900  0.000731  1.004980   0.000734  1.009432   0.000735  1.010126   
11000  0.000731  1.004961   0.000734  1.009420   0.000735  1.010145   
11100  0.000731  1.004942   0.000734  1.009408   0.000735  1.010165   
11200  0.000731  1.004923   0.000734  1.009395   0.000735  1.010186   
11300  0.000731  1.004904   0.000734  1.009382   0.000735  1.010206   
11400  0.000731  1.004885   0.000734  1.009368   0.000735  1.010227   
11500  0.000731  1.004865   0.000734  1.009354   0.000735  1.010249   
11600  0.000731  1.004845   0.000734  1.009339   0.000735  1.010270   
11700  0.000731  1.004824   0.000734  1.009324   0.000735  1.010292   
11800  0.000731  1.004802   0.000734  1.009309   0.000735  1.010313   
11900  0.000731  1.004779   0.000734  1.009295   0.000735  1.010335   
12000  0.000731  1.004755   0.000734  1.009280   0.000735  1.010356   
12100  0.000731  1.004730   0.000734  1.009266   0.000735  1.010377   
12200  0.000731  1.004704   0.000734  1.009253   0.000735  1.010398   
12300  0.000731  1.004677   0.000734  1.009240   0.000735  1.010419   
12400  0.000731  1.004647   0.000734  1.009228   0.000735  1.010440   
12500  0.000731  1.004617   0.000734  1.009216   0.000735  1.010460   
12600  0.000731  1.004584   0.000734  1.009205   0.000735  1.010479   
12700  0.000731  1.004550   0.000734  1.009195   0.000735  1.010499   
12800  0.000731  1.004514   0.000734  1.009186   0.000735  1.010517   
12900  0.000731  1.004475   0.000734  1.009178   0.000735  1.010536   
13000  0.000731  1.004435   0.000734  1.009171   0.000735  1.010554   
13100  0.000731  1.004393   0.000734  1.009164   0.000735  1.010571   
13200  0.000731  1.004348   0.000734  1.009159   0.000735  1.010587   
13300  0.000730  1.004302   0.000734  1.009154   0.000735  1.010604   
13400  0.000730  1.004253   0.000734  1.009151   0.000735  1.010619   
13500  0.000730  1.004201   0.000734  1.009148   0.000735  1.010634   
13600  0.000730  1.004148   0.000734  1.009146   0.000735  1.010649   
13700  0.000730  1.004092   0.000734  1.009145   0.000735  1.010664   
13800  0.000730  1.004034   0.000734  1.009144   0.000735  1.010677   
13900  0.000730  1.003974   0.000734  1.009144   0.000735  1.010691   
